face_size,neck_type,neck_value,cfm_300,nc_300,cfm_400,nc_400,cfm_500,nc_500,cfm_600,nc_600,cfm_700,nc_700,cfm_800,nc_800,cfm_1000,nc_1000,cfm_1200,nc_1200,cfm_1400,nc_1400
12x12,Dia,6,59,<10,78,<10,98,<10,118,14,137,18,157,21,196,27,235,32,275,36
12x12,Neck,6x6,75,<10,100,<10,125,12,150,17,175,21,200,24,250,30,300,35,350,39
12x12,Neck,10x10,208,15,278,23,347,29,417,33,486,37,556,41,694,47,833,51,972,55
24x24,Dia,6,59,<10,78,<10,98,<10,118,13,137,17,157,20,196,26,235,31,275,34
24x24,Neck,6x6,75,<10,100,<10,125,<10,150,14,175,18,200,21,250,27,300,32,350,35
24x24,Dia,8,105,<10,140,<10,174,13,209,17,244,21,279,24,349,30,419,35,488,38
24x24,Neck,8x8,133,<10,178,<10,222,14,267,18,311,22,356,25,444,31,533,36,622,39
24x24,Dia,10,164,<10,218,<10,273,16,327,20,382,24,436,27,545,33,654,38,763,41
24x24,Neck,10x10,208,<10,278,11,347,17,417,21,486,25,556,28,694,34,833,39,972,42
24x24,Dia,12,235,<10,314,12,392,17,471,22,549,26,628,29,785,34,942,39,1099,43
24x24,Neck,12x12,300,<10,400,14,500,20,600,24,700,28,800,31,1000,37,1200,42,1400,45
24x24,Dia,14,320,<10,427,15,534,21,641,25,748,29,855,32,1068,38,1282,43,1495,46
24x24,Neck,15x15,469,<10,625,16,781,22,938,26,1094,30,1250,33,1563,39,1875,44,2188,47
24x24,Dia,16,419,11,558,18,698,24,837,28,977,32,1116,35,1395,41,1674,46,1953,49
24x24,Neck,18x18,675,11,900,18,1125,24,1350,28,1575,32,1800,36,2250,41,2700,46,3150,49
24x24,Neck,22x22,1008,13,1344,20,1681,26,2017,30,2353,34,2689,37,3361,43,4033,47,4706,51
other,10x22(12x24Face),neck,458,<10,611,<10,764,<10,917,14,1069,18,1222,21,1528,27,1833,32,2139,36
other,14x14(16x16Face),neck,408,<10,544,<10,681,12,817,17,953,21,1089,24,1361,30,1633,35,1906,39
other,18x18(20x20Face),neck,675,<10,900,11,1125,17,1350,22,1575,26,1800,29,2250,35,2700,40,3150,44
other,22x46(24x48Face),neck,2108,12,2811,20,3514,25,4217,30,4919,34,5622,38,7028,43,8433,48,9839,52
